timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582571115.141429,30.5,18.6,18.423893064260483,979.7394789105617,281.96999606392967,"(-0.08, -0.51, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, 0.0)","(0.01, 0.0, -0.41000000000000003)","(34.5, -27.25, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.949736781872282,14439.679283982845,16.266200028265416
1582571120.60773,30.7,18.3,18.41944817220792,979.8577116880983,282.7324026147423,"(-0.09, -0.52, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.003272492347489368, -0.003272492347489368, -0.001090830782496456)","(0.0, 0.02, -0.37)","(33.375, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.9465140764476996,14439.679283982845,16.266200028265416
1582571126.073258,30.8,18.3,18.423893064260483,979.7478511119665,282.21850082824784,"(-0.08, -0.51, 9.36)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, -0.001090830782496456)","(0.0, 0.01, -0.39)","(34.1875, -27.6875, -66.875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38528,1.9432913710231172,14381.487406525539,16.36157187413653
1582571131.538498,30.6,18.3,18.41944817220792,979.6897226020125,282.5554786559153,"(-0.1, -0.5, 9.370000000000001)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, -0.003272492347489368, 0.0)","(0.0, 0.01, -0.39)","(35.25, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9465140764476996,14381.487406525539,16.36157187413653
1582571137.010714,31.0,18.5,18.41944817220792,979.8079541294894,281.88153370495013,"(-0.08, -0.51, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.004363323129985824, -0.006544984694978736, -0.001090830782496456)","(0.01, 0.02, -0.37)","(34.875, -27.6875, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.9465140764476996,14439.679283982845,16.266200028265416
1582571142.482489,31.1,17.8,18.42833795165643,979.7394789105617,283.5664763729818,"(-0.08, -0.5, 9.35)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.004363323129985824, -0.002181661564992912, 0.0)","(0.0, 0.02, -0.38)","(34.1875, -27.6875, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9432913710231172,14439.679283982845,16.266200028265416
1582571147.94996,31.1,19.5,18.423893064260483,979.7000680480824,282.89246718873454,"(-0.09, -0.49, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, 0.001090830782496456)","(0.01, 0.03, -0.39)","(34.875, -28.0625, -66.875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.949736781872282,14323.571985302302,16.45692501563144
1582571153.415556,31.2,18.6,18.432782834395766,979.6916923114288,283.05254764434187,"(-0.08, -0.49, 9.41)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, -0.001090830782496456, -0.002181661564992912)","(0.01, 0.02, -0.38)","(34.875, -27.25, -67.25)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38528,1.9432913710231172,14439.679283982845,16.266200028265416
1582571158.880823,31.4,18.5,18.432782834395766,979.7498247267904,283.3895584110573,"(-0.09, -0.5, 9.41)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.002181661564992912, 0.002181661564992912, 0.0)","(0.01, 0.02, -0.41000000000000003)","(34.875, -28.375, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.9432913710231172,14381.487406525539,16.36157187413653
1582571164.352169,31.5,18.8,18.432782834395766,979.7498247267904,281.70461163696297,"(-0.08, -0.49, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.002181661564992912, -0.003272492347489368, -0.001090830782496456)","(0.0, 0.01, -0.42)","(34.5, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.9465140764476996,14381.487406525539,16.36157187413653
1582571169.818126,31.2,17.5,18.43722771247849,979.8286473168006,282.3617189750918,"(-0.07, -0.49, 9.38)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.0, -0.001090830782496456, 0.0)","(0.01, 0.01, -0.41000000000000003)","(34.875, -27.6875, -67.25)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.949736781872282,14323.571985302302,16.45692501563144
1582571175.284963,31.3,17.3,18.4416725859046,979.7705163147074,282.96408957769336,"(-0.09, -0.51, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.003272492347489368, -0.001090830782496456, 0.002181661564992912)","(0.0, 0.0, -0.4)","(34.1875, -28.375, -67.25)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.949736781872282,14381.487406525539,16.36157187413653
1582571180.75106,31.4,17.0,18.4416725859046,979.7311042972273,282.69872067742557,"(-0.08, -0.5, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.002181661564992912, 0.0, 0.0)","(0.0, 0.02, -0.41000000000000003)","(35.25, -28.0625, -66.875)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.949736781872282,14381.487406525539,16.36157187413653
1582571186.216811,31.2,17.7,18.43722771247849,979.8099283638703,282.9472789635284,"(-0.08, -0.52, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.001090830782496456, -0.001090830782496456, -0.001090830782496456)","(0.0, 0.01, -0.4)","(34.875, -28.0625, -65.375)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9432913710231172,14439.679283982845,16.266200028265416
1582571191.682976,30.9,17.7,18.43722771247849,979.7601705281727,283.05254764434187,"(-0.07, -0.5, 9.370000000000001)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.004363323129985824, 0.001090830782496456, 0.0)","(0.0, 0.02, -0.39)","(34.1875, -27.6875, -66.0625)",22,"(-1.0003662109375, -0.0267333984375, 0.0047607421875, 0.0)",38656,1.9561821927214464,14323.571985302302,16.45692501563144
1582571197.148028,31.0,17.5,18.42833795165643,979.7104134793096,282.3785582303266,"(-0.08, -0.5, 9.39)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.002181661564992912, 0.003272492347489368, 0.001090830782496456)","(-0.01, 0.01, -0.42)","(34.5, -28.0625, -66.0625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9465140764476996,14323.571985302302,16.45692501563144
1582571202.613701,31.1,18.2,18.432782834395766,979.7498247267904,282.3785582303266,"(-0.08, -0.5, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(0.002181661564992912, 0.001090830782496456, 0.001090830782496456)","(0.01, 0.01, -0.4)","(33.75, -27.6875, -66.5)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38720,1.949736781872282,14498.149601884046,16.170808691873162
1582571208.079326,31.0,18.3,18.42833795165643,979.6315910793882,282.8756323943261,"(-0.07, -0.49, 9.4)","(0.0, -0.5, 3.0625)","(-0.09, -0.52, 9.790000000000001)","(-0.001090830782496456, 0.001090830782496456, 0.0)","(0.02, 0.0, -0.42)","(34.5, -27.6875, -67.5625)",22,"(0.9996337890625, -0.0267333984375, 0.0047607421875, 0.0)",38592,1.9432913710231172,14439.679283982845,16.266200028265416
