timestamp_EPOCHms,am2320_humidity_%,am2320_temperature_C,bmp388_temperature_C,bmp388_pressure_hPa,bmp388_altitude_m,bno055_acceleration_m/s^2,bno055_euler_angle,bno055_gravity_m/s^2,bno055_gyroscope,bno055_linear_acceleration_m/s^2,bno055_magnetometer_mT,bno055_temperature_C,bno055_quaternion,mcp3008_raw_adc,mcp3008_adc_voltage_V,mcp3008_thermistor_resistance_Ω,mcp3008_thermistor_temperature_C
1582580648.693232,37.9,18.6,18.232758501078933,979.7673289368155,282.3173067913301,"(-0.08, -0.51, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, -0.001090830782496456, 0.001090830782496456)","(-0.04, 0.02, -0.39)","(35.875, -27.0, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13432.97457718025,17.98066670000918
1582580654.158398,38.0,18.8,18.232758501078933,979.6781892773054,282.0689798910481,"(-0.09, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, -317.89)","(-0.002181661564992912, -0.006544984694978736, 0.001090830782496456)","(-0.03, 0.02, -0.39)","(35.5625, -27.25, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8949507896543831,13486.721857864746,17.885507209841705
1582580659.623608,38.1,18.6,18.22386831184849,979.8751609423406,280.38498352076874,"(-0.1, -0.5, 9.36)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(-0.001090830782496456, -0.004363323129985824, 0.0)","(-0.03, 0.03, -0.4)","(35.875, -26.5625, -67.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8852826733806363,13379.472726624097,18.075820616816998
1582580665.08843,37.9,17.4,18.22386831184849,979.7362756267747,282.40581124621906,"(-0.09, -0.48, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, -0.001090830782496456, 0.0)","(-0.04, 0.03, -0.37)","(35.25, -27.25, -67.1875)",22,"(0.9996337890625, -0.02679443359375, 0.0103759765625, 0.0)",37568,1.8917280842298008,13432.97457718025,17.98066670000918
1582580670.553653,38.0,17.4,18.22386831184849,979.8067236548807,283.0795060439576,"(-0.06, -0.49, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, -0.004363323129985824, 0.0)","(-0.03, 0.0, -0.39)","(35.5625, -27.25, -65.5625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37568,1.8917280842298008,13432.97457718025,17.98066670000918
1582580676.022209,38.0,17.5,18.22386831184849,979.9042027268233,281.5551495608937,"(-0.07, -0.5, 9.38)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.002181661564992912, 0.003272492347489368, -0.001090830782496456)","(-0.01, 0.02, -0.38)","(34.5, -27.6875, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37440,1.8917280842298008,13326.214628937534,18.170969721213453
1582580681.48787,37.7,18.0,18.22386831184849,979.8441041223751,281.73215923063,"(-0.07, -0.5, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, -0.002181661564992912)","(-0.04, 0.02, -0.39)","(34.875, -27.0, -66.75)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37440,1.8852826733806363,13432.97457718025,17.98066670000918
1582580686.953034,37.6,17.3,18.22386831184849,979.8067236548807,281.3953492641776,"(-0.08, -0.52, 9.39)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.001090830782496456, 0.001090830782496456, 0.0)","(-0.03, 0.0, -0.39)","(34.5, -27.25, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0103759765625, 0.0)",37568,1.8885053788052186,13432.97457718025,17.98066670000918
1582580692.417841,37.5,17.4,18.22831340879202,979.8751609423406,282.2288032200225,"(-0.07, -0.5, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.0, 0.001090830782496456)","(-0.04, 0.03, -0.42)","(35.5625, -27.0, -66.0625)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37632,1.8949507896543831,13379.472726624097,18.075820616816998
1582580697.883889,37.5,17.4,18.214978103991598,979.8834973952617,281.1470569729385,"(-0.1, -0.48, 9.370000000000001)","(359.9375, -0.25, 3.0625)","(-0.05, -0.52, 9.790000000000001)","(0.0, 0.0, 0.0)","(-0.04, 0.0, -0.39)","(35.25, -27.25, -66.375)",22,"(0.9996337890625, -0.02679443359375, 0.0025634765625, 0.0)",37504,1.8885053788052186,13326.214628937534,18.170969721213453
