timestamp_EPOCHms,ublox_latitude,ublox_longitude
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294612,-83.710452
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294613,-83.710453
1582661532.17059,42.294610,-83.710450
1582661532.17059,42.294610,-83.710450
1582661532.17059,42.294610,-83.710450
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294609,-83.710449
1582661532.17059,42.294610,-83.710446
1582661532.17059,42.294610,-83.710446
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294610,-83.710445
1582661532.17059,42.294612,-83.710439
1582661532.17059,42.294614,-83.710445
1582661532.17059,42.294620,-83.710450
1582661532.17059,42.294620,-83.710450
1582661532.17059,42.294622,-83.710454
1582661532.17059,42.294625,-83.710453
1582661532.17059,42.294625,-83.710453
1582661532.17059,42.294625,-83.710453
1582661532.17059,42.294625,-83.710448
1582661532.17059,42.294625,-83.710448
1582661532.17059,42.294625,-83.710448
1582661532.17059,42.294625,-83.710448
1582661532.17059,42.294625,-83.710448
1582661532.17059,42.294631,-83.710403
1582661532.17059,42.294631,-83.710403
1582661532.17059,42.294631,-83.710403
1582661532.17059,42.294631,-83.710403
1582661532.17059,42.294632,-83.710347
1582661532.17059,42.294632,-83.710347
1582661532.17059,42.294632,-83.710347
1582661532.17059,42.294632,-83.710347
1582661532.17059,42.294632,-83.710316
1582661532.17059,42.294632,-83.710316
1582661532.17059,42.294632,-83.710316
1582661532.17059,42.294632,-83.710316
1582661532.17059,42.294632,-83.710316
1582661532.17059,42.294632,-83.710316
1582661532.17059,42.294621,-83.710265
1582661532.17059,42.294621,-83.710265
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294616,-83.710260
1582661532.17059,42.294579,-83.710214
1582661532.17059,42.294579,-83.710214
1582661532.17059,42.294579,-83.710214
1582661532.17059,42.294579,-83.710214
1582661532.17059,42.294542,-83.710200
1582661532.17059,42.294542,-83.710200
1582661532.17059,42.294542,-83.710200
1582661532.17059,42.294542,-83.710200
1582661532.17059,42.294496,-83.710194
1582661532.17059,42.294480,-83.710191
1582661532.17059,42.294480,-83.710191
1582661532.17059,42.294480,-83.710191
1582661532.17059,42.294480,-83.710191
1582661532.17059,42.294480,-83.710191
1582661532.17059,42.294431,-83.710190
1582661532.17059,42.294420,-83.710189
1582661532.17059,42.294420,-83.710189
1582661532.17059,42.294420,-83.710189
1582661532.17059,42.294381,-83.710186
1582661532.17059,42.294381,-83.710186
1582661532.17059,42.294370,-83.710187
1582661532.17059,42.294351,-83.710186
1582661532.17059,42.294341,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294331,-83.710189
1582661532.17059,42.294237,-83.710189
1582661532.17059,42.294237,-83.710189
1582661532.17059,42.294237,-83.710189
1582661532.17059,42.294202,-83.710195
1582661532.17059,42.294202,-83.710195
1582661532.17059,42.294181,-83.710199
1582661532.17059,42.294150,-83.710198
1582661532.17059,42.294150,-83.710198
1582661532.17059,42.294139,-83.710199
1582661532.17059,42.294139,-83.710199
1582661532.17059,42.294115,-83.710195
1582661532.17059,42.294115,-83.710195
1582661532.17059,42.294067,-83.710200
1582661532.17059,42.294055,-83.710204
1582661532.17059,42.294046,-83.710212
1582661532.17059,42.294046,-83.710212
1582661532.17059,42.294046,-83.710212
1582661532.17059,42.294046,-83.710212
1582661532.17059,42.294036,-83.710289
1582661532.17059,42.294036,-83.710289
1582661532.17059,42.294036,-83.710316
1582661532.17059,42.294036,-83.710316
1582661532.17059,42.294033,-83.710345
1582661532.17059,42.294033,-83.710345
1582661532.17059,42.294033,-83.710345
1582661532.17059,42.294033,-83.710345
1582661532.17059,42.294033,-83.710345
1582661532.17059,42.294033,-83.710345
1582661532.17059,42.294031,-83.710426
1582661532.17059,42.294031,-83.710426
1582661532.17059,42.294031,-83.710426
1582661532.17059,42.294031,-83.710426
1582661532.17059,42.294030,-83.710488
1582661532.17059,42.294030,-83.710516
1582661532.17059,42.294030,-83.710516
1582661532.17059,42.294030,-83.710516
1582661532.17059,42.294028,-83.710581
1582661532.17059,42.294028,-83.710581
1582661532.17059,42.294028,-83.710581
1582661532.17059,42.294028,-83.710581
1582661532.17059,42.294028,-83.710657
1582661532.17059,42.294028,-83.710657
1582661532.17059,42.294028,-83.710657
1582661532.17059,42.294028,-83.710703
1582661532.17059,42.294028,-83.710703
1582661532.17059,42.294028,-83.710703
1582661532.17059,42.294027,-83.710736
1582661532.17059,42.294027,-83.710736
1582661532.17059,42.294027,-83.710736
1582661532.17059,42.294027,-83.710736
1582661532.17059,42.294027,-83.710813
1582661532.17059,42.294027,-83.710813
1582661532.17059,42.294027,-83.710842
1582661532.17059,42.294027,-83.710842
1582661532.17059,42.294027,-83.710842
1582661532.17059,42.294027,-83.710842
1582661532.17059,42.294027,-83.710842
1582661532.17059,42.294026,-83.710917
1582661532.17059,42.294026,-83.710917
1582661532.17059,42.294026,-83.710917
1582661532.17059,42.294026,-83.710917
1582661532.17059,42.294026,-83.710917
1582661532.17059,42.294025,-83.711017
1582661532.17059,42.294025,-83.711017
1582661532.17059,42.294025,-83.711050
1582661532.17059,42.294025,-83.711050
1582661532.17059,42.294025,-83.711050
1582661532.17059,42.294025,-83.711050
1582661532.17059,42.294025,-83.711050
1582661532.17059,42.294025,-83.711050
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294027,-83.711145
1582661532.17059,42.294039,-83.711254
1582661532.17059,42.294039,-83.711254
1582661532.17059,42.294039,-83.711254
1582661532.17059,42.294039,-83.711254
1582661532.17059,42.294055,-83.711295
1582661532.17059,42.294061,-83.711322
1582661532.17059,42.294061,-83.711322
1582661532.17059,42.294061,-83.711322
1582661532.17059,42.294065,-83.711365
1582661532.17059,42.294065,-83.711365
1582661532.17059,42.294065,-83.711365
1582661532.17059,42.294072,-83.711400
1582661532.17059,42.294072,-83.711400
1582661532.17059,42.294072,-83.711400
1582661532.17059,42.294072,-83.711400
1582661532.17059,42.294075,-83.711468
1582661532.17059,42.294075,-83.711468
1582661532.17059,42.294075,-83.711468
1582661532.17059,42.294075,-83.711468
1582661532.17059,42.294072,-83.711542
1582661532.17059,42.294072,-83.711556
1582661532.17059,42.294072,-83.711573
1582661532.17059,42.294072,-83.711591
1582661532.17059,42.294071,-83.711610
1582661532.17059,42.294071,-83.711610
1582661532.17059,42.294075,-83.711653
1582661532.17059,42.294075,-83.711653
1582661532.17059,42.294075,-83.711666
1582661532.17059,42.294075,-83.711666
1582661532.17059,42.294075,-83.711666
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294070,-83.711702
1582661532.17059,42.294064,-83.711822
1582661532.17059,42.294064,-83.711822
1582661532.17059,42.294064,-83.711822
1582661532.17059,42.294064,-83.711822
1582661532.17059,42.294055,-83.711895
1582661532.17059,42.294055,-83.711895
1582661532.17059,42.294055,-83.711895
1582661532.17059,42.294055,-83.711895
1582661532.17059,42.294046,-83.711951
1582661532.17059,42.294045,-83.711984
1582661532.17059,42.294046,-83.711999
1582661532.17059,42.294047,-83.712015
1582661532.17059,42.294044,-83.712046
1582661532.17059,42.294044,-83.712046
1582661532.17059,42.294044,-83.712046
1582661532.17059,42.294038,-83.712093
1582661532.17059,42.294037,-83.712112
1582661532.17059,42.294037,-83.712112
1582661532.17059,42.294035,-83.712128
1582661532.17059,42.294035,-83.712128
1582661532.17059,42.294035,-83.712157
